agent_id,name,phone,email,agency_name,whatsapp
agent-001,Richard Mahendra,089481983189,richard.mahendra1@gmail.com,Wins Property,089640919935
agent-002,Taufik Wibowo,084981932199,taufik.wibowo2@gmail.com,Rumah123 Property,084692036233
agent-003,Agus Setiawan,085936486844,agus.setiawan3@gmail.com,LX International,083593620281
agent-004,Gunawan Lim,087254683812,gunawan.lim4@gmail.com,Century 21,084588810844
agent-005,Syifa Hidayat,087171052912,syifa.hidayat5@gmail.com,Wins Property,084584138696
agent-006,Taufik Saputri,086503877087,taufik.saputri6@gmail.com,Rumah123 Property,083942044692
agent-007,Jonathan Saputra,083286471493,jonathan.saputra7@gmail.com,Wins Property,081312432717
agent-008,Putri Chandra,085947440454,putri.chandra8@gmail.com,Brighton,087165545186
agent-009,Aisyah Lestari,084096057218,aisyah.lestari9@gmail.com,Ray White,088068804207
agent-010,Reza Pratama,087404251722,reza.pratama10@gmail.com,Wins Property,084070308700
agent-011,Stefan Saputri,083430344833,stefan.saputri11@gmail.com,LX International,089597711904
agent-012,Yoga Santoso,086691866000,yoga.santoso12@gmail.com,Wins Property,089230626967
agent-013,Putri Santoso,088479609425,putri.santoso13@gmail.com,Wins Property,086972345655
agent-014,Dewi Gunadi,088484466375,dewi.gunadi14@gmail.com,LX International,089726333001
agent-015,Rafi Kurniawan,088591473487,rafi.kurniawan15@gmail.com,PropNex,087947349018
agent-016,Jason Hidayat,081402550810,jason.hidayat16@gmail.com,PropNex,085072274106
agent-017,Samuel Lestari,083242643466,samuel.lestari17@gmail.com,Ray White,086684266711
agent-018,Michael Simanjuntak,086350714509,michael.simanjuntak18@gmail.com,Rumah123 Property,087186597591
agent-019,Rina Susanto,087165172945,rina.susanto19@gmail.com,Ray White,084073120031
agent-020,Felix Chandra,089457790820,felix.chandra20@gmail.com,Century 21,083002517173
agent-021,Vina Chandra,089994558674,vina.chandra21@gmail.com,LX International,089165648951
agent-022,Rafi Kusuma,087503174157,rafi.kusuma22@gmail.com,Ray White,084538307727
agent-023,Tommy Wijaya,085783960309,tommy.wijaya23@gmail.com,Rumah123 Property,087914132684
agent-024,Fajar Putri,082488146523,fajar.putri24@gmail.com,Wins Property,084257660435
agent-025,Dewi Lestari,087046572521,dewi.lestari25@gmail.com,Independent Agent,084863672584
agent-026,Aisyah Chandra,085868697058,aisyah.chandra26@gmail.com,Rumah123 Property,088745649763
agent-027,Gunawan Santoso,082584419663,gunawan.santoso27@gmail.com,Ray White,083811365161
agent-028,Richard Wijaya,083761946723,richard.wijaya28@gmail.com,Wins Property,085619446825
agent-029,Rina Syahputra,088885560553,rina.syahputra29@gmail.com,Ray White,089381467068
agent-030,Aisyah Setiawan,088103522892,aisyah.setiawan30@gmail.com,LX International,084692459496
agent-031,Ilham Kusuma,087610349446,ilham.kusuma31@gmail.com,Century 21,082348437217
agent-032,Richard Siregar,087052573840,richard.siregar32@gmail.com,PropNex,085920866053
agent-033,Citra Susanto,083145737319,citra.susanto33@gmail.com,Wins Property,085756346545
agent-034,Andi Pratama,085988446586,andi.pratama34@gmail.com,Ray White,088321839225
agent-035,Rina Pratama,085706772313,rina.pratama35@gmail.com,LX International,089137193895
agent-036,Richard Gunadi,083739213109,richard.gunadi36@gmail.com,Wins Property,082386864291
agent-037,Aulia Simanjuntak,085480193999,aulia.simanjuntak37@gmail.com,Century 21,086203604183
agent-038,Dian Lestari,081827859064,dian.lestari38@gmail.com,Wins Property,086115187771
agent-039,Richard Lestari,086158393587,richard.lestari39@gmail.com,Wins Property,086389027186
agent-040,Gunawan Putri,086906320689,gunawan.putri40@gmail.com,Era Property,084705591322
agent-041,Aulia Hidayat,089671057487,aulia.hidayat41@gmail.com,Era Property,089914164359
agent-042,Nabila Lestari,088984134865,nabila.lestari42@gmail.com,Wins Property,081685871235
agent-043,Richard Putri,089499177370,richard.putri43@gmail.com,Century 21,081835423890
agent-044,Siti Putri,088778617425,siti.putri44@gmail.com,Rumah123 Property,081514927254
agent-045,Dian Simanjuntak,082044045557,dian.simanjuntak45@gmail.com,Ray White,083132749990
agent-046,Andi Lestari,084981488602,andi.lestari46@gmail.com,Brighton,087135425640
agent-047,William Hartono,082533124441,william.hartono47@gmail.com,IQI Property,089700179856
agent-048,Samuel Setiawan,085955793797,samuel.setiawan48@gmail.com,Independent Agent,084622827212
agent-049,Nadia Kurniawan,087694400851,nadia.kurniawan49@gmail.com,LX International,087237805640
agent-050,Felix Herlambang,081489303785,felix.herlambang50@gmail.com,PropNex,087249453961
